1.SUST er A unit e kon kon dept ache ?, check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/,
2.সাস্টের A ইউনিটে কোন কোন ডিপার্টমেন্ট আছে ? , cheack https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
3.SUST er B1 unit e kon kon dept ache ? , check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
4.সাস্টের B1 ইউনিটে কোন কোন ডিপার্টমেন্ট আছে ? ,check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
5.সাস্টের বি১ ইউনিটে কোন কোন ডিপার্টমেন্ট আছে ? , cheack https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
6.SUST er A unit e seat number koto ? , check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/,
7.সাস্টের এ ইউনিটে আসন সংখ্যা কত ? , chaeck https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
8. সাস্টের A ইউনিটে আসনসংখ্যা কত ? , check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/,
9.SUST B1 unit e seat number koto ? ,check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
10.SUST er B2 unit e seat number koto ? , check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
11.SUST er B2 unit e kon kon dept ache ?, check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
12.SUST er B2 unit e kon kon department ache ? , check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
13.সাস্টের B1 ইউনিটে আসনসংখ্যা কত ? , check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
14.সাস্টের বি১ ইউনিটে আসনসংখ্যা কত ? , check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
15.সাস্টের বি২ ইউনিটে আসনসংখ্যা কত ? , check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
16.সাস্টের B2 ইউনিটে আসনসংখ্যা কত ? , check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
17.SUST e Quota ache ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
18.সাস্টে কোটা আছে ? , check  https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
19.সাস্টে কোটা সংখ্যা কত ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
20.সাস্টে সংরক্ষিত আসন কতটি ?,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
21.সাস্টে ভর্তি পরীক্ষা দেয়ার যোগ্যতা কি ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
22.SUST e exam deyar jonno koto point lage ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
23.সাস্টে পরীক্ষা দেয়ার জন্য কত পয়েন্ট লাগে ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
24.সাস্টে ভর্তি পরীক্ষা দেয়ার জন্য বিষয়গত যোগ্যতা কি ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
25.সাস্টে ভর্তি পরীক্ষার ইউনিট কয়টি ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
26.সাস্টে ভর্তি পরীক্ষার নাম্বার বন্টন কেমন ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
27.SUST e kon kon Subject er upor exam hobe ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
28.SUST e vorti exam er time koto ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
29.SUST e admission exam er time koto ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
30.SUST e vorti porikkhar somoy koto ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
31.সাস্টে ভর্তি পরীক্ষার সময় কত ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
32.সাস্টে ভর্তি পরীক্ষার ফি কত ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
33.SUST e admission exam fee koto ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
34.সাস্টে ভর্তি পরীক্ষার আবেদন প্রকিয়া কেমন ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
35.সাস্টে আবেদনের শেষ সময় কখন ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
36.সাস্টের আসন বিন্যাস কোথায় পাওয়া যাবে ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
37.SUST er seat plan kothay paoya jabe ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
38.সাস্টে ভর্তি পরীক্ষার দিন কি কি কাগজ সাথে আনতে হবে ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
39.সাস্টে ভর্তির দিন  কি কি কাগজ সাথে আনতে হবে ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
40.SUST e admission result kothay pabo ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
41.সাস্টের ভর্তি পরীক্ষার রেজাল্ট কোথায় পাবো ? ,  check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/ ,
